id,user,fullname,timestamp,url,likes,replies,retweets,text,html
68,realDonaldTrump,Donald J. Trump,8/7/18 10:46,/realDonaldTrump/status/1026781688167366656,84655,17695,22398,"Ohio, vote today for Troy Balderson for Congress. His opponent, controlled by Nancy Pelosi, is weak on Crime, the Border, Military, Vets, your 2nd Amendment - and will end your Tax Cuts. Troy will be a great Congressman. #MAGA","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Ohio, vote today for Troy Balderson for Congress. His opponent, controlled by Nancy Pelosi, is weak on Crime, the Border, Military, Vets, your 2nd Amendment - and will end your Tax Cuts. Troy will be a great Congressman. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MAGA?src=hash""><s>#</s><b>MAGA</b></a></p>"
69,realDonaldTrump,Donald J. Trump,8/7/18 9:31,/realDonaldTrump/status/1026762818773757955,137065,28034,37259,"The Iran sanctions have officially been cast. These are the most biting sanctions ever imposed, and in November they ratchet up to yet another level. Anyone doing business with Iran will NOT be doing business with the United States. I am asking for WORLD PEACE, nothing less!","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The Iran sanctions have officially been cast. These are the most biting sanctions ever imposed, and in November they ratchet up to yet another level. Anyone doing business with Iran will NOT be doing business with the United States. I am asking for WORLD PEACE, nothing less!</p>"
70,realDonaldTrump,Donald J. Trump,8/6/18 21:53,/realDonaldTrump/status/1026587142989008897,77948,30576,18270,California wildfires are being magnified & made so much worse by the bad environmental laws which aren�۪t allowing massive amounts of readily available water to be properly utilized. It is being diverted into the Pacific Ocean. Must also tree clear to stop fire from spreading!,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">California wildfires are being magnified &amp; made so much worse by the bad environmental laws which aren�۪t allowing massive amounts of readily available water to be properly utilized. It is being diverted into the Pacific Ocean. Must also tree clear to stop fire from spreading!</p>"
71,realDonaldTrump,Donald J. Trump,8/6/18 21:46,/realDonaldTrump/status/1026585401874677760,95128,21119,24826,"Democrats want Open Borders and they want to abolish ICE, the brave men and women that are protecting our Country from some of the most vicious and dangerous people on earth! Sorry, we can�۪t let that happen! Also, change the rules in the Senate and approve STRONG Border Security!","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Democrats want Open Borders and they want to abolish ICE, the brave men and women that are protecting our Country from some of the most vicious and dangerous people on earth! Sorry, we can�۪t let that happen! Also, change the rules in the Senate and approve STRONG Border Security!</p>"
72,realDonaldTrump,Donald J. Trump,8/5/18 20:01,/realDonaldTrump/status/1026196465696350208,135771,44534,29308,"Presidential Approval numbers are very good - strong economy, military and just about everything else. Better numbers than Obama at this point, by far. We are winning on just about every front and for that reason there will not be a Blue Wave, but there might be a Red Wave!","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Presidential Approval numbers are very good - strong economy, military and just about everything else. Better numbers than Obama at this point, by far. We are winning on just about every front and for that reason there will not be a Blue Wave, but there might be a Red Wave!</p>"
73,realDonaldTrump,Donald J. Trump,8/6/18 19:13,/realDonaldTrump/status/1026546879289425920,75357,9651,20826,"John James is a potential Republican Star who has a Senate primary election tomorrow in Michigan. If he becomes the Republican candidate, he will beat the Open Borders, weak on Crime, Democrat, Debbie Stabenow. Vote for John James and Make America Great Again!","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">John James is a potential Republican Star who has a Senate primary election tomorrow in Michigan. If he becomes the Republican candidate, he will beat the Open Borders, weak on Crime, Democrat, Debbie Stabenow. Vote for John James and Make America Great Again!</p>"
74,realDonaldTrump,Donald J. Trump,8/6/18 17:43,/realDonaldTrump/status/1026524292396273664,75165,19009,19589,"Governor Jerry Brown must allow the Free Flow of the vast amounts of water coming from the North and foolishly being diverted into the Pacific Ocean. Can be used for fires, farming and everything else. Think of California with plenty of Water - Nice! Fast Federal govt. approvals.","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Governor Jerry Brown must allow the Free Flow of the vast amounts of water coming from the North and foolishly being diverted into the Pacific Ocean. Can be used for fires, farming and everything else. Think of California with plenty of Water - Nice! Fast Federal govt. approvals.</p>"
75,realDonaldTrump,Donald J. Trump,8/6/18 15:48,/realDonaldTrump/status/1026495277824401408,76757,12612,18462,"Kris Kobach, a strong and early supporter of mine, is running for Governor of the Great State of Kansas.  He is a fantastic guy who loves his State and our Country - he will be a GREAT Governor and has my full & total Endorsement! Strong on Crime, Border & Military. VOTE TUESDAY!","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Kris Kobach, a strong and early supporter of mine, is running for Governor of the Great State of Kansas.  He is a fantastic guy who loves his State and our Country - he will be a GREAT Governor and has my full &amp; total Endorsement! Strong on Crime, Border &amp; Military. VOTE TUESDAY!</p>"
76,realDonaldTrump,Donald J. Trump,8/6/18 14:52,/realDonaldTrump/status/1026481210405605376,74905,12976,17858,"Great financial numbers being announced on an almost daily basis. Economy has never been better, jobs at best point in history. Fixing our terrible Trade Deals is a priority-and going very well. Immigration on Merit Based System to take care of the companies coming back to U.S.A.","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Great financial numbers being announced on an almost daily basis. Economy has never been better, jobs at best point in history. Fixing our terrible Trade Deals is a priority-and going very well. Immigration on Merit Based System to take care of the companies coming back to U.S.A.</p>"
77,realDonaldTrump,Donald J. Trump,8/6/18 14:25,/realDonaldTrump/status/1026474458326986752,70589,17687,18345,"....a law firm, eventually Kremlin connected sources, to gather info on Donald Trump. Collusion is very real with Russia, but only with Hillary and the Democrats, and we should demand a full investigation.�۝ Dan Bongino on @foxandfriends  Looking forward to the new IG Report!","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">....a law firm, eventually Kremlin connected sources, to gather info on Donald Trump. Collusion is very real with Russia, but only with Hillary and the Democrats, and we should demand a full investigation.�۝ Dan Bongino on <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""15513604"" dir=""ltr"" href=""/foxandfriends""><s>@</s><b>foxandfriends</b></a>  Looking forward to the new IG Report!</p>"
